Entry Time,Exit Time,Type,Entry Price,Exit Price,Quantity,PNL,Outcome,Balance After Trade,cumulative_pnl,cumulative_balance
2023-03-10 20:50:00,2023-03-10 20:51:00,long,11819.25,11814.25,1,-115.0,SL,24955.0,-75045.0,24955.0
2023-03-10 21:46:00,2023-03-10 21:47:00,short,11848.75,11853.75,1,-115.0,SL,24840.0,-75160.0,24840.0
2023-03-12 22:11:00,2023-03-12 22:12:00,short,11876.5,11881.5,1,-115.0,SL,24725.0,-75275.0,24725.0
2023-03-12 22:46:00,2023-03-12 22:47:00,short,12006.0,12001.0,1,85.0,TP,24810.0,-75190.0,24810.0
2023-03-12 23:49:00,2023-03-12 23:50:00,long,11997.25,12002.25,1,85.0,TP,24895.0,-75105.0,24895.0
2023-03-12 23:58:00,2023-03-12 23:59:00,long,12002.5,11997.5,1,-115.0,SL,24780.0,-75220.0,24780.0
2023-03-13 00:37:00,2023-03-13 00:38:00,short,12007.5,12002.5,1,85.0,TP,24865.0,-75135.0,24865.0
2023-03-13 01:25:00,2023-03-13 01:26:00,long,11963.25,11968.25,1,85.0,TP,24950.0,-75050.0,24950.0
2023-03-13 02:49:00,2023-03-13 02:50:00,short,12034.75,12039.75,1,-115.0,SL,24835.0,-75165.0,24835.0
2023-03-13 04:27:00,2023-03-13 04:30:00,long,12050.0,12045.0,1,-115.0,SL,24720.0,-75280.0,24720.0
2023-03-13 05:58:00,2023-03-13 06:05:00,long,12065.5,12070.5,1,85.0,TP,24805.0,-75195.0,24805.0
2023-03-13 07:19:00,2023-03-13 07:23:00,long,12044.75,12049.75,1,85.0,TP,24890.0,-75110.0,24890.0
2023-03-13 09:05:00,2023-03-13 09:06:00,long,11929.25,11924.25,1,-115.0,SL,24775.0,-75225.0,24775.0
2023-03-13 09:33:00,2023-03-13 09:34:00,long,11881.0,11886.0,1,85.0,TP,24860.0,-75140.0,24860.0
2023-03-13 10:43:00,2023-03-13 10:44:00,short,11907.75,11902.75,1,85.0,TP,24945.0,-75055.0,24945.0
2023-03-13 10:47:00,2023-03-13 10:48:00,long,11909.5,11914.5,1,85.0,TP,25030.0,-74970.0,25030.0
2023-03-13 11:51:00,2023-03-13 11:52:00,short,11930.5,11925.5,1,85.0,TP,25115.0,-74885.0,25115.0
2023-03-13 14:03:00,2023-03-13 14:04:00,long,11886.25,11891.25,1,85.0,TP,25200.0,-74800.0,25200.0
2023-03-13 15:50:00,2023-03-13 15:51:00,short,12033.0,12028.0,1,85.0,TP,25285.0,-74715.0,25285.0
2023-03-13 16:57:00,2023-03-13 16:58:00,short,11966.5,11971.5,1,-115.0,SL,25170.0,-74830.0,25170.0
2023-03-13 18:35:00,2023-03-13 18:36:00,short,12056.5,12051.5,1,85.0,TP,25255.0,-74745.0,25255.0
2023-03-13 18:56:00,2023-03-13 18:57:00,short,12038.0,12033.0,1,85.0,TP,25340.0,-74660.0,25340.0
2023-03-13 20:35:00,2023-03-13 20:37:00,long,11941.5,11946.5,1,85.0,TP,25425.0,-74575.0,25425.0
2023-03-14 01:32:00,2023-03-14 01:33:00,long,11981.5,11986.5,1,85.0,TP,25510.0,-74490.0,25510.0
2023-03-14 02:22:00,2023-03-14 02:24:00,short,12005.5,12010.5,1,-115.0,SL,25395.0,-74605.0,25395.0
2023-03-14 02:47:00,2023-03-14 02:51:00,long,12001.75,12006.75,1,85.0,TP,25480.0,-74520.0,25480.0
2023-03-14 02:56:00,2023-03-14 02:58:00,long,12004.75,11999.75,1,-115.0,SL,25365.0,-74635.0,25365.0
2023-03-14 03:11:00,2023-03-14 03:14:00,long,11991.0,11996.0,1,85.0,TP,25450.0,-74550.0,25450.0
2023-03-14 03:32:00,2023-03-14 03:34:00,long,11998.5,12003.5,1,85.0,TP,25535.0,-74465.0,25535.0
2023-03-14 03:35:00,2023-03-14 03:43:00,short,11997.25,12002.25,1,-115.0,SL,25420.0,-74580.0,25420.0
2023-03-14 04:17:00,2023-03-14 04:22:00,long,11995.5,12000.5,1,85.0,TP,25505.0,-74495.0,25505.0
2023-03-14 04:40:00,2023-03-14 04:42:00,long,11996.0,11991.0,1,-115.0,SL,25390.0,-74610.0,25390.0
2023-03-14 05:13:00,2023-03-14 05:15:00,short,11990.75,11985.75,1,85.0,TP,25475.0,-74525.0,25475.0
2023-03-14 05:49:00,2023-03-14 05:51:00,short,11962.5,11967.5,1,-115.0,SL,25360.0,-74640.0,25360.0
2023-03-14 08:13:00,2023-03-14 08:14:00,long,11973.75,11978.75,1,85.0,TP,25445.0,-74555.0,25445.0
2023-03-14 08:18:00,2023-03-14 08:19:00,short,11977.5,11972.5,1,85.0,TP,25530.0,-74470.0,25530.0
2023-03-14 08:47:00,2023-03-14 08:48:00,long,11992.25,11997.25,1,85.0,TP,25615.0,-74385.0,25615.0
2023-03-14 08:51:00,2023-03-14 08:52:00,short,11992.0,11987.0,1,85.0,TP,25700.0,-74300.0,25700.0
2023-03-14 12:00:00,2023-03-14 12:01:00,long,12008.5,12013.5,1,85.0,TP,25785.0,-74215.0,25785.0
2023-03-14 12:03:00,2023-03-14 12:06:00,short,12010.0,12005.0,1,85.0,TP,25870.0,-74130.0,25870.0
2023-03-14 14:12:00,2023-03-14 14:13:00,long,12137.25,12142.25,1,85.0,TP,25955.0,-74045.0,25955.0
2023-03-14 16:50:00,2023-03-14 16:51:00,short,12193.0,12188.0,1,85.0,TP,26040.0,-73960.0,26040.0
2023-03-14 18:53:00,2023-03-14 18:54:00,short,12125.0,12120.0,1,85.0,TP,26125.0,-73875.0,26125.0
2023-03-14 20:54:00,2023-03-14 20:59:00,short,12201.5,12206.5,1,-115.0,SL,26010.0,-73990.0,26010.0
2023-03-14 22:52:00,2023-03-14 23:00:00,short,12189.0,12194.0,1,-115.0,SL,25895.0,-74105.0,25895.0
2023-03-14 23:08:00,2023-03-14 23:14:00,long,12196.5,12201.5,1,85.0,TP,25980.0,-74020.0,25980.0
2023-03-14 23:33:00,2023-03-14 23:49:00,short,12195.0,12190.0,1,85.0,TP,26065.0,-73935.0,26065.0
2023-03-15 01:06:00,2023-03-15 01:08:00,short,12196.75,12201.75,1,-115.0,SL,25950.0,-74050.0,25950.0
2023-03-15 02:02:00,2023-03-15 02:07:00,short,12206.25,12211.25,1,-115.0,SL,25835.0,-74165.0,25835.0
2023-03-15 06:33:00,2023-03-15 06:35:00,long,12229.25,12224.25,1,-115.0,SL,25720.0,-74280.0,25720.0
2023-03-15 07:24:00,2023-03-15 07:27:00,long,12225.5,12220.5,1,-115.0,SL,25605.0,-74395.0,25605.0
2023-03-15 11:18:00,2023-03-15 11:19:00,long,12043.5,12048.5,1,85.0,TP,25690.0,-74310.0,25690.0
2023-03-15 11:56:00,2023-03-15 11:57:00,short,12034.75,12039.75,1,-115.0,SL,25575.0,-74425.0,25575.0
2023-03-15 12:52:00,2023-03-15 12:53:00,short,12019.0,12024.0,1,-115.0,SL,25460.0,-74540.0,25460.0
2023-03-15 13:20:00,2023-03-15 13:21:00,short,12036.75,12041.75,1,-115.0,SL,25345.0,-74655.0,25345.0
2023-03-15 14:44:00,2023-03-15 14:45:00,long,12064.0,12069.0,1,85.0,TP,25430.0,-74570.0,25430.0
