Entry Time,Position,Entry Price,SL Price,TP Price,Exit Time,Exit Reason,Exit Price,P&L,cumulative_pnl
2024-04-18 19:37:00,short,17569.5,,,2024-04-18 19:38:00,TP,17564.5,85.0,-113030.0
2024-04-18 20:03:00,short,17555.0,,,2024-04-18 20:04:00,TP,17550.0,85.0,-112945.0
2024-04-18 20:24:00,long,17539.0,,,2024-04-18 20:26:00,SL,17534.0,-115.0,-113060.0
2024-04-18 22:46:00,long,17530.75,,,2024-04-18 22:50:00,SL,17525.75,-115.0,-113175.0
2024-04-18 23:06:00,long,17520.75,,,2024-04-18 23:17:00,SL,17515.75,-115.0,-113290.0
2024-04-19 01:45:00,long,17267.5,,,2024-04-19 01:46:00,TP,17272.5,85.0,-113205.0
2024-04-19 03:50:00,short,17328.5,,,2024-04-19 03:51:00,TP,17323.5,85.0,-113120.0
2024-04-19 06:31:00,long,17402.5,,,2024-04-19 06:32:00,SL,17397.5,-115.0,-113235.0
2024-04-19 09:49:00,long,17444.0,,,2024-04-19 09:51:00,SL,17439.0,-115.0,-113350.0
2024-04-19 11:07:00,short,17437.5,,,2024-04-19 11:08:00,SL,17442.5,-115.0,-113465.0
2024-04-19 13:04:00,long,17520.5,,,2024-04-19 13:05:00,SL,17515.5,-115.0,-113580.0
2024-04-19 16:54:00,short,17258.0,,,2024-04-19 16:55:00,SL,17263.0,-115.0,-113695.0
2024-04-19 17:30:00,long,17282.5,,,2024-04-19 17:31:00,TP,17287.5,85.0,-113610.0
2024-04-19 19:29:00,short,17181.5,,,2024-04-19 19:30:00,SL,17186.5,-115.0,-113725.0
2024-04-19 19:37:00,long,17170.25,,,2024-04-19 19:38:00,SL,17165.25,-115.0,-113840.0
2024-04-21 22:33:00,short,17243.5,,,2024-04-21 22:34:00,SL,17248.5,-115.0,-113955.0
2024-04-22 00:06:00,long,17266.25,,,2024-04-22 00:10:00,SL,17261.25,-115.0,-114070.0
2024-04-22 00:50:00,short,17230.5,,,2024-04-22 00:51:00,TP,17225.5,85.0,-113985.0
2024-04-22 00:53:00,long,17227.0,,,2024-04-22 00:54:00,TP,17232.0,85.0,-113900.0
2024-04-22 01:00:00,long,17224.0,,,2024-04-22 01:03:00,SL,17219.0,-115.0,-114015.0
2024-04-22 01:35:00,long,17234.0,,,2024-04-22 01:37:00,SL,17229.0,-115.0,-114130.0
2024-04-22 01:55:00,long,17236.0,,,2024-04-22 01:56:00,TP,17241.0,85.0,-114045.0
2024-04-22 02:13:00,short,17241.75,,,2024-04-22 02:16:00,SL,17246.75,-115.0,-114160.0
2024-04-22 05:10:00,long,17261.75,,,2024-04-22 05:20:00,SL,17256.75,-115.0,-114275.0
2024-04-22 07:22:00,short,17271.25,,,2024-04-22 07:26:00,TP,17266.25,85.0,-114190.0
2024-04-22 09:01:00,long,17268.25,,,2024-04-22 09:02:00,SL,17263.25,-115.0,-114305.0
2024-04-22 10:53:00,long,17278.75,,,2024-04-22 11:00:00,SL,17273.75,-115.0,-114420.0
2024-04-22 13:03:00,short,17298.5,,,2024-04-22 13:15:00,SL,17303.5,-115.0,-114535.0
2024-04-22 15:22:00,long,17172.25,,,2024-04-22 15:24:00,TP,17177.25,85.0,-114450.0
2024-04-22 16:40:00,short,17248.0,,,2024-04-22 16:41:00,SL,17253.0,-115.0,-114565.0
2024-04-22 19:41:00,long,17353.5,,,2024-04-22 19:42:00,SL,17348.5,-115.0,-114680.0
2024-04-22 20:57:00,short,17339.75,,,2024-04-22 20:59:00,SL,17344.75,-115.0,-114795.0
2024-04-23 00:15:00,long,17323.75,,,2024-04-23 00:16:00,TP,17328.75,85.0,-114710.0
2024-04-23 00:21:00,short,17325.5,,,2024-04-23 00:32:00,SL,17330.5,-115.0,-114825.0
2024-04-23 02:38:00,short,17324.25,,,2024-04-23 02:53:00,SL,17329.25,-115.0,-114940.0
2024-04-23 03:09:00,long,17320.0,,,2024-04-23 03:11:00,TP,17325.0,85.0,-114855.0
2024-04-23 06:11:00,short,17329.75,,,2024-04-23 06:25:00,TP,17324.75,85.0,-114770.0
2024-04-23 07:30:00,short,17356.5,,,2024-04-23 07:31:00,SL,17361.5,-115.0,-114885.0
2024-04-23 07:34:00,short,17359.0,,,2024-04-23 07:35:00,TP,17354.0,85.0,-114800.0
2024-04-23 07:43:00,long,17355.5,,,2024-04-23 07:50:00,TP,17360.5,85.0,-114715.0
2024-04-23 08:45:00,short,17376.0,,,2024-04-23 08:46:00,SL,17381.0,-115.0,-114830.0
2024-04-23 09:44:00,short,17377.0,,,2024-04-23 09:45:00,TP,17372.0,85.0,-114745.0
2024-04-23 09:59:00,long,17375.5,,,2024-04-23 10:01:00,TP,17380.5,85.0,-114660.0
2024-04-23 10:47:00,long,17406.25,,,2024-04-23 10:48:00,SL,17401.25,-115.0,-114775.0
2024-04-23 12:42:00,short,17405.25,,,2024-04-23 12:44:00,SL,17410.25,-115.0,-114890.0
2024-04-23 13:23:00,short,17426.0,,,2024-04-23 13:25:00,SL,17431.0,-115.0,-115005.0
2024-04-23 14:00:00,short,17495.0,,,2024-04-23 14:01:00,TP,17490.0,85.0,-114920.0
2024-04-23 15:01:00,short,17560.5,,,2024-04-23 15:02:00,TP,17555.5,85.0,-114835.0
2024-04-23 15:31:00,long,17598.75,,,2024-04-23 15:32:00,SL,17593.75,-115.0,-114950.0
2024-04-23 19:44:00,long,17627.0,,,2024-04-23 19:45:00,SL,17622.0,-115.0,-115065.0
2024-04-23 20:41:00,short,17650.5,,,2024-04-23 20:48:00,SL,17655.5,-115.0,-115180.0
2024-04-23 22:09:00,short,17668.0,,,2024-04-23 22:12:00,SL,17673.0,-115.0,-115295.0
2024-04-24 00:44:00,long,17710.0,,,2024-04-24 00:50:00,TP,17715.0,85.0,-115210.0
2024-04-24 01:26:00,short,17719.75,,,2024-04-24 01:31:00,TP,17714.75,85.0,-115125.0
2024-04-24 03:37:00,long,17736.0,,,2024-04-24 03:50:00,SL,17731.0,-115.0,-115240.0
2024-04-24 05:04:00,long,17729.75,,,2024-04-24 05:09:00,TP,17734.75,85.0,-115155.0
2024-04-24 06:29:00,short,17735.75,,,2024-04-24 06:31:00,TP,17730.75,85.0,-115070.0
